Forget it.	Lupakannya.
Do you want to play tennis with us?	Adakah awak hendak bermain tenis dengan kami?
I don't think that he knows Hebrew.	Saya tidak rasa dia tahu bahasa Hebrew.
Let me have a look at those photos.	Mari saya lihat gambar-gambar itu
Tom doesn't want to get in trouble.	Tom tidak mahu terlibat dengan masalah.
You don't have to be here tomorrow.	Awak tidak perlu handir ke sini esok
I thought Tom and Mary were married.	Saya sangkakan Tom dan Mary telah berkahwin.
Tom is making a cup of tea for Mary.	Tom sedang membuat secawan teh untuk Mary.
Tom wasn't happy with Mary's answer.	Tom tidak berpuas hati dengan jawapan Mary.
From now on, we'll meet in this room.	Bermula dari sekarang, kita akan bertemu di bilik ini.
Tom, there's someone here to see you.	Tom, ada seseorang di sini mahu berjumpa awak.
You need to get off at the next stop.	Awak perlu turun di perhentian berikutnya.
You never used to treat me like this.	Awak tidak pernah melayan saya seperti ini.
She insists on her son being innocent.	Dia bertegas bahawa anak lelakinya tidak bersalah.
Are there any beautiful parks in Japan?	Adakah ada taman yang cantik di Jepun?
I suggested that the plan be postponed.	Saya telah mencadangkan supaya rancangan tersebut ditangguhkan.
I think that I was followed by someone.	Saya rasa saya diekori seseorang tadi
Santa Claus was standing in the garden.	Santa Klaus berdiri di taman tadi.
You are not permitted to touch the art.	Awak tidak dibenarkan untuk menyentuh lukisan itu.
I'm sorry I opened your mail by mistake.	Saya minta maaf saya telah membuka surat awak secara tidak sengaja.
My eyes are very sensitive to the light.	Mata saya sangat peka kepada cahaya.
My eyes are very sensitive to the light.	Mata saya sangat sensitif kepada cahaya.
What do you want to be when you grow up?	Apa yang awak ingin jadi apabila awak besar?
She's not my girlfriend. She's my sister.	Dia bukan teman wanita saya. Dia kakak saya.
I really don't understand what's so funny.	Sungguh saya tidak faham apakah yang lucu sangat.
Please indicate what action you will take.	Sila tunjukkan apa yang awak hendak lakukan
She must have visited England last summer.	Dia mesti telah melawat England pada musim panas lalu.
What do stores do with unsold merchandise?	Apa yang dibuat oleh kedai dengan barangan yang tidak dijual
It's evident to everybody that he's in love.	Jelas kepada semua orang bahawa dia sedang dilamun cinta.
These problems must be dealt with carefully.	Masalah-masalah ini hendaklah ditangani dengan berhati-hati.
As she grew older, she became more beautiful.	Semakin dia menjadi tua, dia menjadi semakin cantik.
In Esperanto there are only 16 grammar rules.	Dalam bahasa Esperanto terhadap hanya 16 peraturan tatabahasa.
Rain is the water that falls from the clouds.	Hujan ialah air yang jatuh daripada awan.
The lecture on the budget was very interesting.	Syarahan tentang belanjawan itu sangat menarik.
I went to see the doctor, only to find him absent.	Saya telah pergi untuk berjumpa doktor, semata-mata untuk mendapati dia cuti.
You'd better go to see your family doctor at once.	Lebih baik awak pergi berjumpa doktor keluarga awak serta-merta.
Now you've come of age, you have the right to vote.	Sekarang awak telah cukup umur, awak mempunyai hak untuk mengundi.
One hour of thoughtlessness can cause years of tears.	Satu jam dalam keadaan tidak berfikir boleh menyebabkan tangisan bertahun-tahun.
Tom agreed to be here at 2:30, but he's not here yet.	Tom telah bersetuju untuk berada di sini pada pukul 2:30, tetapi dia masih belum sampai lagi.
You've got to carry out your commitment at all costs.	Awak perlu melaksanakan tanggungjawab awak dengan apa cara sekali pun.
Japan plays an important role in promoting world peace.	Jepun memainkan peranan penting dalam mempromosikan keamanan dunia.
Should the Suez and Panama Canals be internationalized?	Patutkah Terusan Suez dan Panama diantarabangsakan?
Children should keep away from the river. It's dangerous.	Kanak-kanak patut menjauhi sungai. Ia berbahaya.
I opened the door and saw two boys standing side by side.	Saya membuka pintu dan melihat dua budak lelaki berdiri sebelah-menyebelah.
Tom wishes Mary wouldn't always go shopping on Saturdays.	Tom berharap agar Mary tidak akan selalu keluar membeli-belah pada hari Sabtu.
Atlanta, Georgia has one of the busiest airports in the world.	Atlanta, Georgia mempunyai salah satu daripada lapangan terbang tersibuk di dunia.
I was asked to buy some cakes on the way home from the office.	Saya telah diminta untuk membeli sedikit kek dalam perjalanan pulang dari pejabat.
